RENDA;GINI;CMI
349.63;0.43;22.4
353.96;0.48;20.75
143.42;0.49;53.51
376.26;0.41;17.9
215.52;0.49;41.04
382.97;0.48;22.2
225.53;0.44;28.49
157.7;0.55;50.48
284.94;0.57;34.42
465.41;0.46;19.57
340.73;0.42;26.79
215.1;0.54;53.13
121.73;0.44;57.35
489.88;0.58;22.38
112.64;0.52;60.54
528.25;0.48;17.9
117.36;0.57;42.86
211.31;0.51;34.51
125.48;0.62;44.1
201.98;0.54;37.25
109.07;0.56;52.82
497.3;0.53;28.8
182.2;0.62;47.69
536.35;0.38;18
494.16;0.43;21.52
459.74;0.41;19.3
823.36;0.65;16.4
644;0.48;17.8
227.36;0.55;32.63
143.8;0.51;65.97
346.19;0.57;36.66
291.31;0.48;19.7
322;0.59;31.64
264.01;0.49;23.61
132.57;0.62;45.53
657.88;0.54;16.9
149.02;0.59;48.34
165.93;0.53;38.95
539.54;0.57;27.25
208.77;0.45;28.12
322.01;0.54;21.67
618.24;0.57;22.88
402.08;0.42;21.7
565.95;0.45;21.3
481.74;0.59;28.45
160.01;0.62;55.28
92.78;0.49;44.97
164.66;0.48;51.07
173.83;0.54;54.61
376.79;0.56;43.01
625.92;0.56;21
214.57;0.54;36.61
142.49;0.59;58.11
327.08;0.5;24.95
485.48;0.55;19.8
444.88;0.49;18.21
145.34;0.64;39.86
170.78;0.57;41.14
432.25;0.48;21.86
132.82;0.51;43
119.19;0.53;49.76
133.12;0.51;45.71
181.37;0.51;43.34
133.29;0.54;43.77
122.43;0.53;63.77
386.4;0.5;31.25
130.21;0.62;38.23
262.79;0.52;32.94
408.15;0.49;24.69
881.52;0.42;15.1
325.21;0.62;31.15
493.71;0.43;17.8
242.84;0.56;29.7
397.3;0.5;22.25
464.32;0.53;31.16
390.13;0.55;22.75
376.39;0.44;20.08
546.06;0.52;16.01
399.97;0.52;17.89
328.06;0.48;26.7
171.94;0.48;40.03
416.05;0.52;22.95
228.71;0.56;38.76
547.72;0.52;17.37
132.2;0.58;73.83
321.89;0.42;30.48
258.54;0.52;44.36
151.19;0.54;60.96
77.98;0.56;69.48
502.07;0.59;20.24
117.4;0.53;66.63
266.73;0.68;38.91
232.35;0.56;38.58
347.72;0.57;34.96
366.32;0.59;22.38
160.62;0.5;48.6
112.41;0.56;61.58
416.02;0.55;47.66
114.78;0.54;53.15
299.36;0.43;18.88
277.41;0.5;26.76
684.29;0.53;15.6
304.43;0.48;34.42
175.6;0.55;54.66
431.98;0.49;17.99
773.9;0.51;15.9
228.76;0.49;36.19
695.48;0.57;20.4
235.27;0.6;37.41
344.8;0.56;22.7
566.64;0.51;19.21
161.21;0.5;71.52
92.01;0.49;55.99
463.7;0.54;15.1
517.09;0.52;18.79
528.39;0.54;21.86
321.14;0.56;27.12
345.89;0.54;25.29
